iters,fevals,fitness
0,3888,11.0
1,4723,11.0
2,10903,11.0
3,11329,11.0
4,11540,11.0
5,11750,11.0
6,11962,11.0
7,12381,11.0
8,12588,11.0
9,13843,11.0
10,14265,11.0
11,14796,11.0
12,15007,11.0
13,15218,11.0
14,15430,11.0
15,16485,11.0
16,16694,12.0
17,22772,14.0
18,23194,14.0
19,23406,14.0
20,23617,14.0
21,23828,14.0
22,24040,14.0
23,24354,14.0
24,25709,14.0
25,26342,14.0
26,26660,14.0
27,27396,14.0
28,28129,14.0
29,28550,19.0
30,35154,19.0
31,35364,19.0
32,35997,19.0
33,36730,20.0
34,38830,19.0
35,39042,19.0
36,39771,19.0
37,39982,19.0
38,40505,19.0
39,40715,19.0
40,41233,19.0
41,44274,20.0
42,49846,19.0
43,50164,19.0
44,51213,19.0
45,51738,19.0
46,52464,20.0
47,52571,20.0
48,52676,19.0
49,52781,19.0
50,52888,19.0
51,52993,19.0
52,53099,19.0
53,53205,19.0
54,53309,19.0
55,53414,19.0
56,53519,19.0
57,53625,19.0
58,53728,19.0
59,53830,19.0
60,53935,19.0
61,54041,19.0
62,54146,19.0
63,54252,19.0
64,54356,19.0
65,54463,19.0
66,54569,19.0
67,54674,19.0
68,54779,19.0
69,54881,19.0
70,54985,19.0
71,55093,19.0
72,55199,19.0
73,55303,19.0
74,55407,19.0
75,55513,19.0
76,55619,19.0
77,55724,19.0
78,55829,19.0
79,55936,19.0
80,56042,19.0
81,56145,19.0
82,56249,19.0
83,56354,19.0
84,56459,19.0
85,56565,19.0
86,56668,19.0
87,56770,19.0
88,56877,19.0
89,56984,19.0
90,57090,19.0
91,57198,19.0
92,57304,19.0
93,57408,19.0
94,57512,19.0
95,57617,19.0
96,57720,19.0
97,57827,19.0
98,57932,19.0
99,58039,19.0
100,58144,19.0
101,58246,19.0
102,58348,19.0
103,58454,19.0
104,58559,19.0
105,58663,19.0
106,58769,19.0
107,58876,19.0
108,58981,19.0
109,59083,19.0
110,59189,19.0
111,59294,19.0
112,59399,19.0
113,59504,19.0
114,59605,19.0
115,59714,19.0
116,59820,19.0
117,59924,19.0
118,60027,19.0
119,60132,19.0
120,60239,19.0
121,60344,19.0
122,60451,19.0
123,60559,19.0
124,60663,19.0
125,60766,19.0
126,60872,19.0
127,60977,19.0
128,61083,19.0
129,61187,20.0
130,61294,20.0
131,61397,20.0
132,61501,20.0
133,61609,20.0
134,61712,20.0
135,61817,20.0
136,61924,20.0
137,62028,20.0
138,62133,20.0
139,62237,20.0
140,62344,20.0
141,62450,19.0
142,62552,19.0
143,62655,19.0
144,62760,19.0
145,62866,19.0
146,62970,19.0
147,63076,19.0
148,63182,19.0
149,63287,19.0
150,63393,19.0
151,63496,19.0
152,63601,19.0
153,63704,19.0
154,63813,19.0
155,63919,19.0
156,64025,19.0
157,64130,19.0
158,64237,19.0
159,64341,19.0
160,64445,19.0
161,64550,19.0
162,64653,19.0
163,64762,19.0
164,64866,19.0
165,64971,19.0
166,65078,19.0
167,65184,19.0
168,65288,19.0
169,65393,19.0
170,65500,19.0
171,65602,19.0
172,65709,19.0
173,65815,19.0
174,65921,19.0
175,66023,19.0
176,66130,19.0
177,66235,19.0
178,66341,19.0
179,66445,19.0
180,66549,19.0
181,66653,19.0
182,66758,19.0
183,66862,19.0
184,66965,19.0
185,67068,19.0
186,67175,19.0
187,67278,19.0
188,67384,19.0
189,67487,19.0
190,67593,19.0
191,67697,19.0
192,67803,19.0
193,67908,19.0
194,68011,19.0
195,68114,19.0
196,68217,19.0
197,68325,19.0
198,68428,19.0
199,68530,19.0
200,68636,19.0
201,68741,19.0
202,68847,19.0
203,68951,19.0
204,69055,19.0
205,69162,19.0
206,69265,19.0
207,69369,19.0
208,69476,19.0
209,69583,19.0
210,69687,19.0
211,69793,19.0
212,69896,19.0
213,70001,19.0
214,70105,19.0
215,70210,19.0
216,70314,19.0
217,70418,19.0
218,70523,19.0
219,70628,19.0
220,70731,19.0
221,70834,19.0
222,70940,19.0
223,71044,19.0
224,71149,19.0
225,71253,19.0
226,71356,19.0
227,71462,19.0
228,71564,19.0
229,71670,19.0
230,71773,19.0
231,71877,19.0
232,71981,19.0
233,72090,19.0
234,72197,19.0
235,72301,19.0
236,72407,19.0
237,72513,19.0
238,72621,19.0
239,72727,19.0
240,72832,19.0
241,72936,19.0
242,73040,19.0
243,73143,19.0
244,73248,19.0
245,73353,19.0
246,73459,19.0
247,73565,19.0
248,73673,19.0
249,73775,19.0
250,73878,19.0
251,73982,19.0
252,74088,19.0
253,74193,19.0
254,74293,19.0
255,74397,20.0
256,74501,19.0
257,74604,19.0
258,74710,19.0
259,74813,19.0
260,74916,19.0
261,75025,19.0
262,75130,19.0
263,75235,19.0
264,75341,19.0
265,75446,19.0
266,75553,19.0
267,75660,19.0
268,75764,19.0
269,75868,19.0
270,75974,19.0
271,76078,19.0
272,76184,19.0
273,76290,19.0
274,76395,19.0
275,76499,19.0
276,76603,20.0
