iters,fevals,fitness
0,868,1206.0
1,2454,1207.0
2,2981,1205.0
3,4863,1204.0
4,4873,1204.0
5,4883,1204.0
6,4892,1204.0
7,4902,1205.0
8,4912,1205.0
9,4921,1205.0
10,4931,1203.0
11,4941,1203.0
12,4950,1203.0
13,4960,1203.0
14,4970,1203.0
15,4980,1203.0
16,4990,1203.0
17,5000,1203.0
18,5010,1203.0
19,5020,1203.0
20,5030,1203.0
21,5040,1203.0
22,5050,1205.0
23,5060,1205.0
24,5070,1205.0
25,5080,1205.0
26,5090,1204.0
27,5100,1204.0
28,5109,1203.0
29,5119,1203.0
30,5129,1204.0
31,5139,1203.0
32,5149,1203.0
33,5159,1203.0
34,5168,1203.0
35,5178,1203.0
36,5188,1205.0
37,5198,1205.0
38,5208,1205.0
39,5218,1205.0
40,5228,1205.0
41,5238,1207.0
42,5248,1207.0
43,5258,1207.0
44,5268,1206.0
45,5278,1206.0
46,5288,1206.0
47,5298,1206.0
48,5308,1206.0
49,5318,1206.0
50,5328,1206.0
51,5338,1202.0
52,5348,1202.0
53,5358,1202.0
54,5368,1202.0
55,5378,1202.0
56,5387,1202.0
57,5397,1203.0
58,5407,1202.0
59,5417,1204.0
60,5427,1204.0
61,5437,1204.0
62,5447,1204.0
63,5457,1201.0
64,5467,1201.0
65,5477,1203.0
66,5487,1203.0
67,5496,1203.0
68,5506,1202.0
69,5516,1202.0
70,5526,1202.0
71,5536,1203.0
72,5546,1203.0
73,5555,1203.0
74,5565,1203.0
75,5574,1203.0
76,5584,1203.0
77,5594,1203.0
78,5604,1202.0
79,5612,1202.0
80,5620,1201.0
81,5630,1201.0
82,5639,1201.0
83,5648,1201.0
84,5658,1203.0
85,5668,1203.0
86,5677,1201.0
87,5687,1201.0
88,5697,1202.0
89,5707,1202.0
90,5717,1202.0
91,5727,1202.0
92,5737,1202.0
93,5747,1202.0
94,5757,1200.0
95,5767,1200.0
96,5776,1201.0
97,5786,1200.0
98,5795,1200.0
99,5804,1202.0
100,5814,1202.0
101,5824,1202.0
102,5834,1202.0
103,5844,1202.0
104,5853,1202.0
105,5862,1202.0
106,5872,1202.0
107,5882,1202.0
108,5891,1202.0
109,5901,1202.0
110,5911,1202.0
111,5921,1202.0
112,5931,1201.0
113,5940,1201.0
114,5950,1201.0
115,5959,1201.0
116,5969,1202.0
117,5979,1202.0
118,5989,1202.0
119,5999,1202.0
120,6008,1202.0
121,6017,1202.0
122,6027,1203.0
123,6036,1203.0
124,6046,1203.0
125,6056,1205.0
126,6065,1205.0
127,6075,1203.0
128,6085,1203.0
129,6095,1203.0
130,6105,1204.0
131,6115,1204.0
132,6124,1204.0
133,6134,1204.0
134,6144,1204.0
135,6154,1204.0
136,6164,1204.0
137,6174,1204.0
138,6184,1204.0
139,6194,1204.0
140,6203,1204.0
141,6213,1203.0
142,6222,1203.0
143,6232,1203.0
144,6242,1204.0
145,6252,1204.0
146,6262,1204.0
147,6272,1204.0
148,6282,1204.0
149,6291,1204.0
150,6301,1204.0
151,6310,1206.0
152,6320,1206.0
153,6330,1206.0
154,6340,1206.0
155,6350,1206.0
156,6360,1205.0
157,6369,1204.0
158,6379,1204.0
159,6389,1204.0
160,6397,1204.0
161,6407,1204.0
162,6417,1204.0
163,6427,1204.0
164,6436,1204.0
165,6446,1204.0
166,6455,1204.0
167,6465,1204.0
168,6475,1204.0
169,6484,1203.0
170,6494,1203.0
171,6504,1203.0
172,6513,1204.0
173,6523,1204.0
174,6533,1203.0
175,6543,1203.0
176,6552,1203.0
177,6562,1203.0
178,6571,1203.0
179,6581,1203.0
180,6591,1203.0
181,6601,1202.0
182,6611,1202.0
183,6620,1202.0
184,6630,1202.0
185,6640,1202.0
186,6650,1202.0
187,6660,1202.0
188,6669,1202.0
189,6679,1202.0
190,6689,1202.0
191,6699,1202.0
192,6709,1202.0
193,6719,1202.0
194,6729,1202.0
195,6739,1202.0
196,6749,1202.0
197,6759,1202.0
198,6769,1202.0
199,6778,1202.0
200,6788,1204.0
201,6798,1204.0
202,6808,1201.0
203,6818,1203.0
204,6828,1203.0
205,6838,1201.0
206,6847,1202.0
207,6857,1201.0
208,6866,1201.0
209,6874,1201.0
210,6884,1203.0
211,6893,1202.0
212,6903,1201.0
213,6913,1201.0
214,6922,1201.0
215,6930,1203.0
216,6940,1203.0
217,6949,1203.0
218,6959,1203.0
219,6969,1202.0
220,6979,1202.0
221,6989,1201.0
222,6999,1201.0
223,7008,1205.0
224,7018,1205.0
225,7027,1201.0
226,7037,1203.0
227,7047,1203.0
228,7057,1204.0
229,7066,1203.0
230,7076,1203.0
231,7086,1203.0
232,7096,1202.0
233,7106,1201.0
234,7116,1201.0
235,7126,1201.0
236,7135,1201.0
237,7145,1201.0
238,7154,1201.0
239,7163,1203.0
240,7173,1206.0
241,7183,1206.0
242,7193,1206.0
243,7202,1206.0
244,7212,1206.0
245,7222,1208.0
246,7232,1208.0
247,7242,1206.0
248,7251,1206.0
249,7261,1206.0
250,7270,1206.0
251,7280,1206.0
252,7290,1207.0
253,7300,1207.0
254,7310,1207.0
255,7320,1207.0
256,7330,1207.0
257,7340,1207.0
258,7350,1207.0
259,7360,1207.0
260,7370,1207.0
261,7380,1207.0
262,7390,1207.0
263,7400,1204.0
264,7410,1204.0
265,7420,1204.0
266,7430,1202.0
267,7440,1202.0
268,7450,1202.0
269,7460,1202.0
270,7470,1202.0
271,7480,1202.0
272,7490,1201.0
273,7500,1201.0
274,7510,1201.0
275,7519,1201.0
276,7529,1201.0
277,7539,1201.0
278,7549,1201.0
279,7559,1200.0
280,7568,1200.0
281,7578,1200.0
282,7586,1200.0
283,7596,1200.0
284,7606,1201.0
285,7616,1200.0
286,7626,1200.0
287,7636,1200.0
288,7646,1200.0
289,7656,1200.0
290,7666,1202.0
291,7676,1200.0
292,7686,1201.0
293,7695,1200.0
294,7705,1203.0
295,7715,1203.0
296,7725,1203.0
297,7735,1200.0
298,7745,1200.0
299,7754,1200.0
300,7764,1202.0
301,7774,1202.0
302,7783,1202.0
303,7793,1202.0
304,7803,1202.0
305,7813,1202.0
306,7823,1205.0
307,7832,1205.0
308,7842,1205.0
309,7852,1205.0
310,7862,1205.0
311,7872,1205.0
312,7882,1205.0
313,7892,1205.0
314,7902,1205.0
315,7912,1205.0
316,7922,1205.0
317,7932,1205.0
318,7942,1205.0
319,7952,1205.0
320,7962,1205.0
321,7972,1205.0
322,7982,1205.0
323,7992,1205.0
324,8002,1205.0
325,8012,1205.0
326,8022,1205.0
327,8032,1205.0
328,8042,1205.0
329,8052,1205.0
330,8062,1205.0
331,8072,1205.0
332,8081,1205.0
333,8091,1205.0
334,8101,1205.0
335,8111,1206.0
336,8121,1205.0
337,8131,1205.0
338,8140,1205.0
339,8150,1206.0
340,8159,1206.0
341,8168,1206.0
342,8177,1206.0
343,8187,1206.0
344,8197,1206.0
345,8207,1206.0
346,8217,1206.0
347,8227,1208.0
348,8236,1206.0
349,8246,1206.0
350,8255,1206.0
351,8265,1206.0
352,8275,1206.0
353,8285,1206.0
354,8294,1206.0
355,8302,1206.0
356,8312,1206.0
357,8322,1206.0
358,8332,1206.0
359,8342,1206.0
360,8351,1207.0
361,8361,1206.0
362,8371,1206.0
363,8381,1206.0
364,8391,1206.0
365,8400,1205.0
366,8410,1205.0
367,8420,1205.0
368,8430,1207.0
369,8440,1207.0
370,8449,1207.0
371,8459,1207.0
372,8469,1207.0
373,8479,1207.0
374,8489,1207.0
375,8499,1207.0
376,8507,1207.0
377,8517,1207.0
378,8526,1206.0
379,8535,1206.0
380,8545,1207.0
381,8554,1208.0
382,8564,1208.0
383,8574,1208.0
384,8582,1208.0
385,8592,1208.0
386,8602,1207.0
387,8612,1207.0
388,8621,1207.0
389,8631,1206.0
390,8641,1206.0
391,8651,1206.0
392,8660,1206.0
393,8670,1206.0
394,8680,1206.0
395,8689,1206.0
396,8699,1206.0
397,8708,1206.0
398,8718,1205.0
399,8727,1206.0
400,8736,1205.0
401,8746,1205.0
402,8756,1205.0
403,8766,1205.0
404,8776,1205.0
405,8786,1205.0
406,8796,1205.0
407,8805,1205.0
408,8815,1205.0
409,8825,1205.0
410,8835,1205.0
411,8845,1205.0
412,8855,1205.0
413,8865,1205.0
414,8874,1205.0
415,8884,1206.0
416,8894,1204.0
417,8904,1204.0
418,8914,1204.0
419,8924,1204.0
420,8934,1204.0
421,8944,1204.0
422,8954,1204.0
423,8964,1205.0
424,8973,1205.0
425,8983,1205.0
426,8993,1205.0
427,9003,1205.0
428,9013,1205.0
429,9023,1205.0
430,9033,1205.0
431,9043,1207.0
432,9053,1205.0
433,9063,1205.0
434,9073,1205.0
435,9083,1205.0
436,9093,1205.0
437,9103,1205.0
438,9113,1205.0
439,9123,1205.0
440,9133,1206.0
441,9142,1205.0
442,9151,1207.0
443,9161,1207.0
444,9171,1207.0
445,9181,1207.0
446,9191,1207.0
447,9200,1207.0
448,9210,1207.0
449,9219,1207.0
450,9229,1207.0
451,9238,1207.0
452,9247,1207.0
453,9257,1207.0
454,9267,1207.0
455,9277,1207.0
456,9286,1207.0
457,9296,1207.0
458,9306,1207.0
459,9316,1207.0
460,9326,1207.0
461,9336,1209.0
462,9346,1207.0
463,9356,1209.0
464,9366,1209.0
465,9376,1209.0
466,9385,1209.0
467,9394,1209.0
468,9403,1209.0
469,9413,1209.0
470,9423,1209.0
471,9433,1210.0
472,9443,1210.0
473,9453,1210.0
474,9463,1210.0
475,9473,1210.0
476,9483,1210.0
477,9493,1210.0
478,9503,1210.0
479,9513,1210.0
480,9523,1209.0
481,9533,1208.0
482,9543,1208.0
483,9553,1208.0
484,9563,1207.0
485,9572,1207.0
486,9582,1207.0
487,9592,1207.0
488,9602,1207.0
489,9611,1207.0
490,9620,1207.0
491,9630,1207.0
492,9640,1207.0
493,9650,1206.0
494,9660,1206.0
495,9670,1206.0
496,9680,1206.0
497,9690,1207.0
498,9700,1207.0
499,9710,1207.0
500,9720,1208.0
501,9730,1208.0
502,9740,1208.0
503,9750,1207.0
504,9760,1207.0
505,9769,1207.0
506,9779,1208.0
507,9789,1207.0
508,9798,1207.0
509,9808,1207.0
510,9818,1208.0
511,9828,1208.0
512,9837,1208.0
513,9847,1208.0
514,9857,1208.0
515,9867,1211.0
516,9877,1211.0
517,9887,1208.0
518,9897,1207.0
519,9907,1207.0
520,9916,1207.0
521,9926,1207.0
522,9936,1207.0
523,9946,1207.0
524,9955,1209.0
525,9965,1207.0
526,9975,1207.0
527,9985,1207.0
528,9995,1207.0
529,10004,1207.0
530,10014,1207.0
531,10024,1206.0
532,10034,1206.0
533,10044,1206.0
534,10054,1206.0
535,10063,1206.0
536,10073,1210.0
537,10083,1208.0
538,10093,1208.0
539,10103,1208.0
540,10112,1208.0
541,10122,1205.0
542,10132,1205.0
543,10140,1206.0
544,10148,1205.0
545,10157,1207.0
546,10167,1205.0
547,10177,1205.0
548,10186,1207.0
549,10196,1205.0
550,10205,1207.0
551,10215,1209.0
552,10224,1205.0
553,10234,1204.0
554,10244,1206.0
555,10254,1206.0
