iters,fevals,fitness
0,1600,17.0
1,2200,19.0
2,2800,19.0
3,3400,19.0
4,4000,17.0
5,4600,17.0
6,5200,17.0
7,5800,17.0
8,6400,19.0
9,7000,19.0
10,7600,17.0
11,8200,18.0
12,8800,17.0
13,9400,18.0
14,10000,17.0
15,10600,19.0
16,11200,17.0
17,11800,17.0
18,12400,18.0
19,13000,17.0
20,13600,18.0
21,14200,17.0
22,14800,19.0
23,15400,18.0
24,16000,17.0
25,16600,18.0
26,17200,19.0
27,17800,18.0
28,18400,17.0
29,19000,19.0
30,19600,17.0
31,20200,17.0
32,20800,20.0
33,21400,19.0
34,22000,19.0
35,22800,21.0
36,23400,20.0
37,24000,20.0
38,24800,21.0
39,25400,20.0
40,26000,20.0
41,26600,21.0
42,27200,20.0
43,27800,20.0
44,28400,23.0
45,29000,23.0
46,29600,23.0
47,30200,20.0
48,30800,20.0
49,31400,21.0
50,32000,20.0
51,32600,21.0
52,33200,20.0
53,33800,20.0
54,34400,21.0
55,35000,21.0
56,35600,20.0
57,36200,20.0
58,36800,20.0
59,37400,21.0
60,38000,21.0
61,38600,23.0
62,39200,21.0
63,39800,21.0
64,40400,21.0
65,41000,20.0
66,41600,21.0
67,42200,20.0
68,42800,21.0
69,43400,20.0
70,44000,20.0
71,44600,21.0
72,45200,21.0
73,45800,21.0
74,46800,23.0
75,47400,25.0
76,48000,23.0
77,48600,23.0
78,49200,25.0
79,49800,25.0
80,50600,27.0
81,51200,27.0
82,51800,27.0
83,52400,27.0
84,53000,27.0
85,53600,26.0
86,54200,26.0
87,54800,26.0
88,55400,30.0
89,56200,26.0
90,56800,30.0
91,57400,27.0
92,58000,26.0
93,58600,30.0
94,59200,30.0
95,59800,30.0
96,60400,27.0
97,61000,30.0
98,61600,26.0
99,62200,30.0
100,62800,26.0
101,63400,30.0
102,64000,30.0
103,64800,28.0
104,65400,27.0
105,66000,27.0
106,66600,27.0
107,67200,30.0
108,67800,27.0
109,68400,27.0
110,69000,29.0
111,69600,27.0
112,70200,30.0
113,70800,27.0
114,71400,30.0
115,72000,30.0
116,72600,30.0
117,73200,30.0
118,73800,27.0
119,74400,30.0
120,75000,30.0
121,75600,30.0
122,76200,30.0
123,76800,27.0
124,77400,27.0
125,78000,30.0
126,78600,30.0
127,79200,27.0
128,79800,30.0
129,80400,30.0
130,81200,33.0
131,81800,30.0
132,82400,42.0
133,83000,37.0
134,83600,35.0
135,84200,30.0
136,84800,30.0
137,85400,33.0
138,86000,30.0
139,86600,30.0
140,87200,30.0
141,87800,33.0
142,88400,30.0
143,89000,30.0
144,89600,33.0
145,90200,30.0
146,90800,33.0
147,91400,33.0
148,92000,30.0
149,92600,35.0
150,93200,33.0
151,93800,33.0
152,94400,33.0
153,95000,33.0
154,95600,35.0
155,96400,42.0
156,97600,44.0
157,98200,44.0
158,98800,44.0
159,99400,44.0
160,100000,44.0
161,100600,42.0
162,101200,44.0
163,101800,42.0
164,102400,44.0
165,103000,44.0
166,103600,44.0
167,104200,44.0
168,104800,44.0
169,105400,48.0
170,106000,45.0
171,106600,44.0
172,107200,44.0
173,107800,48.0
174,108400,46.0
175,109000,44.0
176,109600,46.0
177,110200,44.0
178,110800,46.0
179,111400,48.0
180,112000,44.0
181,112600,46.0
182,113200,44.0
183,113800,44.0
184,114400,46.0
185,115000,44.0
186,115600,48.0
187,116200,44.0
188,116800,46.0
189,117400,46.0
190,118000,45.0
191,118600,44.0
192,119200,44.0
193,119800,46.0
194,120400,44.0
195,121000,44.0
196,121600,44.0
197,122200,44.0
198,122800,44.0
199,123400,46.0
200,124000,46.0
201,125000,48.0
202,125600,48.0
203,126200,48.0
204,126800,47.0
205,127400,48.0
206,128000,48.0
207,128600,47.0
208,129200,47.0
209,129800,47.0
210,130400,47.0
211,131000,48.0
212,131600,47.0
213,132200,54.0
214,132800,47.0
215,133400,47.0
216,134000,47.0
217,134600,54.0
218,135200,47.0
219,135800,55.0
220,136600,55.0
221,137200,56.0
222,137800,56.0
223,138400,56.0
224,139000,55.0
225,139600,55.0
226,140200,55.0
227,140800,55.0
228,141400,55.0
229,142000,55.0
230,142600,56.0
231,143200,56.0
232,143800,55.0
233,144400,56.0
234,145000,55.0
235,145600,55.0
236,146200,56.0
237,146800,56.0
238,147400,56.0
239,147800,56.0
240,148200,56.0
241,148600,55.0
242,149000,56.0
243,149400,55.0
244,149800,56.0
245,150200,55.0
246,150600,56.0
247,151000,56.0
248,151400,55.0
249,151800,55.0
250,152200,56.0
251,152600,55.0
252,153000,55.0
253,153400,55.0
254,153800,56.0
255,154200,59.0
256,154600,56.0
257,155000,56.0
258,155400,55.0
259,155800,56.0
260,156200,56.0
261,156600,56.0
262,157000,56.0
263,157400,55.0
264,157800,55.0
265,158200,56.0
266,158600,55.0
267,159000,56.0
268,159400,55.0
269,159800,55.0
270,160200,56.0
271,160600,56.0
272,161000,55.0
273,161400,55.0
274,161800,55.0
275,162200,55.0
276,162600,55.0
277,163000,55.0
278,163400,56.0
279,163800,55.0
280,164200,56.0
281,164600,56.0
282,165000,55.0
283,165400,56.0
284,165800,55.0
285,166200,56.0
286,166600,56.0
287,167000,55.0
288,167400,55.0
289,167800,56.0
290,168200,55.0
291,168600,55.0
292,169000,55.0
293,169400,56.0
294,169800,55.0
295,170200,55.0
296,170600,55.0
297,171000,55.0
298,171400,56.0
299,171800,56.0
300,172200,58.0
301,172600,55.0
302,173000,55.0
303,173400,55.0
304,173800,56.0
305,174200,55.0
306,174600,56.0
307,175000,56.0
308,175400,56.0
309,175800,55.0
310,176200,55.0
311,176600,56.0
312,177000,55.0
313,177400,56.0
314,177800,55.0
315,178200,55.0
316,178600,56.0
317,179000,56.0
318,179400,56.0
319,179800,56.0
320,180200,55.0
321,180600,56.0
322,181000,55.0
323,181400,56.0
324,181800,55.0
325,182200,55.0
326,182600,55.0
327,183000,56.0
328,183400,55.0
329,183800,55.0
330,184200,55.0
331,184600,56.0
332,185000,55.0
333,185400,56.0
334,185800,55.0
335,186200,55.0
336,186600,56.0
337,187000,56.0
338,187400,56.0
339,187800,56.0
340,188200,56.0
341,188600,55.0
342,189000,55.0
343,189400,56.0
344,189800,56.0
345,190200,56.0
346,190600,58.0
347,191000,56.0
348,191400,56.0
349,191800,55.0
350,192200,56.0
351,192600,56.0
352,193000,56.0
353,193400,56.0
354,193800,56.0
355,194200,56.0
356,194600,56.0
357,195000,56.0
358,195400,56.0
359,195800,56.0
360,196200,55.0
361,196600,56.0
362,197000,56.0
363,197400,55.0
364,197800,56.0
365,198200,56.0
366,198600,56.0
367,199000,56.0
368,199400,55.0
369,199800,56.0
370,200200,55.0
371,200600,55.0
372,201000,56.0
373,201400,56.0
374,201800,55.0
375,202200,55.0
376,202600,55.0
377,203000,55.0
378,203400,56.0
379,203800,55.0
380,204200,55.0
381,204600,55.0
382,205000,55.0
383,205400,55.0
384,205800,55.0
385,206200,55.0
386,206600,56.0
387,207000,56.0
388,207400,55.0
389,207800,55.0
390,208200,56.0
391,208600,55.0
392,209000,56.0
393,209400,56.0
394,209800,56.0
395,210200,56.0
396,210600,55.0
397,211000,55.0
398,211400,56.0
399,211800,55.0
400,212200,56.0
401,212600,56.0
402,213000,55.0
403,213400,55.0
404,213800,55.0
405,214200,55.0
406,214600,55.0
407,215000,55.0
408,215400,55.0
409,215800,55.0
410,216200,55.0
411,216600,55.0
412,217000,55.0
413,217400,55.0
414,217800,55.0
415,218200,55.0
416,218600,55.0
417,219000,55.0
418,219400,55.0
419,219800,56.0
420,220200,56.0
421,220600,56.0
422,221000,56.0
423,221400,58.0
424,221800,56.0
425,222200,56.0
426,222600,56.0
427,223000,56.0
428,223400,58.0
429,223800,58.0
430,224200,58.0
431,224600,56.0
432,225000,56.0
433,225400,58.0
434,225800,56.0
435,226200,56.0
436,226600,56.0
437,227000,58.0
438,227400,58.0
439,227800,56.0
440,228200,56.0
441,228600,56.0
442,229000,56.0
443,229400,56.0
444,229800,56.0
445,230200,58.0
446,230600,56.0
447,231000,58.0
448,231400,56.0
449,231800,58.0
450,232200,58.0
451,232600,58.0
452,233000,56.0
453,233400,59.0
454,233800,58.0
455,234200,58.0
456,234600,58.0
457,235000,58.0
458,235400,59.0
459,235800,59.0
460,236200,58.0
461,236600,59.0
462,237000,58.0
463,237400,58.0
464,237800,58.0
465,238200,58.0
466,238600,59.0
467,239000,58.0
468,239400,58.0
469,239800,59.0
470,240200,62.0
471,240600,58.0
472,241000,58.0
473,241400,59.0
474,241800,62.0
475,242200,58.0
476,242600,58.0
477,243000,62.0
478,243400,59.0
479,243800,62.0
480,244200,58.0
481,244600,63.0
482,245000,59.0
483,245400,58.0
484,245800,62.0
485,246200,58.0
486,246600,59.0
487,247000,62.0
488,247400,58.0
489,247800,59.0
490,248200,58.0
491,248600,59.0
492,249000,58.0
493,249400,58.0
494,249800,59.0
495,250200,62.0
496,250600,59.0
497,251000,58.0
498,251400,58.0
499,251800,62.0
500,252200,59.0
501,252600,58.0
502,253000,59.0
503,253400,58.0
504,253800,59.0
505,254200,58.0
506,254600,58.0
507,255000,59.0
508,255400,58.0
