iters,fevals,fitness
0,2000,1202.0
1,2800,1203.0
2,4200,1206.0
3,4800,1207.0
4,5400,1206.0
5,6000,1206.0
6,6600,1207.0
7,7200,1207.0
8,7800,1206.0
9,8400,1206.0
10,9000,1206.0
11,9600,1206.0
12,10200,1206.0
13,10800,1206.0
14,11400,1206.0
15,12000,1206.0
16,12600,1206.0
17,13200,1206.0
18,13800,1206.0
19,14400,1206.0
20,15000,1206.0
21,15600,1206.0
22,16200,1207.0
23,16800,1206.0
24,17400,1206.0
25,18000,1207.0
26,18600,1206.0
27,19200,1206.0
28,19800,1206.0
29,20400,1206.0
30,21200,1207.0
31,21800,1207.0
32,22400,1207.0
33,23000,1207.0
34,23600,1207.0
35,24200,1208.0
36,24800,1207.0
37,25400,1207.0
38,26000,1207.0
39,26600,1207.0
40,27200,1207.0
41,27800,1207.0
42,28400,1207.0
43,29000,1207.0
44,29600,1208.0
45,30200,1207.0
46,30800,1207.0
47,31400,1208.0
48,32000,1208.0
49,32600,1208.0
50,33200,1208.0
51,33800,1208.0
52,34400,1208.0
53,35000,1208.0
54,35600,1209.0
55,36200,1209.0
56,36800,1208.0
57,37400,1208.0
58,38000,1208.0
59,38600,1208.0
60,39200,1208.0
61,39800,1208.0
62,40400,1209.0
63,41000,1208.0
64,41600,1208.0
65,42200,1208.0
66,42800,1208.0
67,43400,1208.0
68,44000,1208.0
69,44600,1208.0
70,45200,1208.0
71,45800,1209.0
72,46400,1208.0
73,47000,1208.0
74,47600,1208.0
75,48200,1208.0
76,48800,1208.0
77,49400,1208.0
78,50000,1208.0
79,50600,1209.0
80,51400,1209.0
81,52000,1209.0
82,52600,1209.0
83,53200,1209.0
84,53800,1209.0
85,54400,1209.0
86,55000,1209.0
87,55800,1210.0
88,56400,1210.0
89,57000,1210.0
90,57600,1210.0
91,58200,1210.0
92,58800,1210.0
93,59400,1210.0
94,60000,1210.0
95,60600,1210.0
96,61200,1210.0
97,61800,1210.0
98,62400,1210.0
99,63000,1210.0
100,63600,1210.0
101,64200,1210.0
102,64800,1210.0
103,65400,1210.0
104,66000,1210.0
105,66600,1210.0
106,67200,1210.0
107,67800,1210.0
108,68400,1210.0
109,69000,1210.0
110,69600,1210.0
111,70200,1210.0
112,70800,1210.0
113,71400,1210.0
114,72000,1210.0
115,72600,1210.0
116,73200,1210.0
117,73800,1210.0
118,74400,1210.0
119,75000,1210.0
120,75600,1210.0
121,76200,1210.0
122,76800,1210.0
123,77400,1210.0
124,78000,1210.0
125,78600,1210.0
126,79400,1211.0
127,80000,1211.0
128,80600,1211.0
129,81200,1211.0
130,81800,1211.0
131,82400,1211.0
132,83000,1211.0
133,83600,1211.0
134,84200,1211.0
135,84800,1211.0
136,85400,1211.0
137,86000,1211.0
138,86600,1211.0
139,87200,1211.0
140,87800,1211.0
141,88400,1211.0
142,89000,1211.0
143,89600,1211.0
144,90200,1211.0
145,90800,1211.0
146,91400,1211.0
147,92000,1211.0
148,92600,1211.0
149,93200,1211.0
150,93800,1211.0
151,94400,1211.0
152,95000,1211.0
153,95600,1211.0
154,96200,1211.0
155,96800,1211.0
156,97400,1211.0
157,98000,1211.0
158,98600,1211.0
159,99200,1211.0
160,99800,1211.0
161,100400,1211.0
162,101000,1211.0
163,101600,1211.0
164,102200,1211.0
165,102800,1211.0
166,103400,1211.0
167,104000,1211.0
168,104600,1211.0
169,105200,1211.0
170,105800,1211.0
171,106400,1211.0
172,107000,1211.0
173,107600,1211.0
174,108200,1211.0
175,108800,1211.0
176,109400,1211.0
177,110000,1211.0
178,110600,1211.0
179,111200,1211.0
180,111800,1211.0
181,112400,1211.0
182,113000,1211.0
183,113600,1211.0
184,114200,1211.0
185,114800,1211.0
186,115400,1211.0
187,116000,1211.0
188,116600,1211.0
189,117200,1211.0
190,117800,1211.0
191,118400,1211.0
192,119000,1211.0
193,119600,1211.0
194,120200,1211.0
195,120800,1211.0
196,121400,1211.0
197,122000,1211.0
198,122600,1211.0
199,123200,1211.0
200,123800,1211.0
201,124400,1211.0
202,125000,1211.0
203,125600,1211.0
204,126200,1211.0
205,126800,1211.0
206,127400,1211.0
207,128000,1211.0
208,128600,1211.0
209,129200,1211.0
210,129800,1211.0
211,130400,1211.0
212,131000,1211.0
213,131600,1211.0
214,132200,1211.0
215,132800,1211.0
216,133400,1211.0
217,134000,1211.0
218,134600,1211.0
219,135200,1211.0
220,135800,1211.0
221,136400,1211.0
222,137000,1211.0
223,137600,1211.0
224,138200,1211.0
225,138800,1211.0
226,139400,1211.0
227,140000,1211.0
228,140600,1211.0
229,141200,1211.0
230,141800,1211.0
231,142400,1211.0
232,143000,1211.0
233,143600,1211.0
234,144200,1211.0
235,144800,1211.0
236,145400,1211.0
237,146000,1211.0
238,146600,1211.0
239,147200,1211.0
240,147800,1211.0
241,148200,1211.0
242,148600,1211.0
243,149000,1211.0
244,149400,1211.0
245,149800,1211.0
246,150200,1211.0
247,150600,1211.0
248,151000,1211.0
249,151400,1211.0
250,151800,1211.0
251,152200,1211.0
252,152600,1211.0
253,153000,1211.0
254,153400,1211.0
255,153800,1211.0
256,154200,1211.0
257,154600,1211.0
258,155000,1211.0
259,155400,1211.0
260,155800,1211.0
261,156200,1211.0
262,156600,1211.0
263,157000,1211.0
264,157400,1211.0
265,157800,1211.0
266,158200,1211.0
267,158600,1211.0
268,159000,1211.0
269,159400,1211.0
270,159800,1211.0
271,160200,1211.0
272,160600,1211.0
273,161000,1211.0
274,161400,1211.0
275,161800,1211.0
276,162200,1211.0
277,162600,1211.0
278,163000,1211.0
279,163400,1211.0
280,163800,1211.0
281,164200,1211.0
282,164600,1211.0
283,165000,1211.0
284,165400,1211.0
285,165800,1211.0
286,166200,1211.0
287,166600,1211.0
288,167000,1211.0
289,167400,1211.0
290,167800,1211.0
291,168200,1211.0
292,168600,1211.0
293,169000,1211.0
294,169400,1211.0
295,169800,1211.0
296,170200,1211.0
297,170600,1211.0
298,171000,1211.0
299,171400,1211.0
300,171800,1211.0
301,172200,1211.0
302,172600,1211.0
303,173000,1211.0
304,173400,1211.0
305,173800,1211.0
306,174200,1211.0
307,174600,1211.0
308,175000,1211.0
309,175400,1211.0
310,175800,1211.0
311,176200,1211.0
312,176600,1211.0
313,177000,1211.0
314,177400,1211.0
315,177800,1211.0
316,178200,1211.0
317,178600,1211.0
318,179000,1211.0
319,179400,1211.0
320,179800,1211.0
321,180200,1211.0
322,180600,1211.0
