iters,fevals,fitness
0,2,39.0
1,5,41.0
2,8,42.0
3,10,42.0
4,12,42.0
5,14,43.0
6,16,43.0
7,18,43.0
8,20,44.0
9,22,44.0
10,24,45.0
11,26,45.0
12,28,45.0
13,30,45.0
14,33,46.0
15,35,46.0
16,37,46.0
17,39,46.0
18,41,46.0
19,43,46.0
20,47,48.0
21,49,48.0
22,52,49.0
23,54,49.0
24,58,51.0
25,60,51.0
26,62,51.0
27,65,52.0
28,67,52.0
29,69,52.0
30,72,53.0
31,74,53.0
32,76,53.0
33,78,53.0
34,80,53.0
35,82,53.0
36,84,53.0
37,86,54.0
38,88,54.0
39,90,54.0
40,92,54.0
41,94,54.0
42,96,54.0
43,98,54.0
44,100,54.0
45,102,54.0
46,104,54.0
47,106,54.0
48,108,54.0
49,110,54.0
50,112,54.0
51,114,55.0
52,116,56.0
53,118,56.0
54,120,56.0
55,122,57.0
56,124,58.0
57,127,59.0
58,129,59.0
59,131,59.0
60,133,59.0
61,135,59.0
62,137,59.0
63,139,60.0
64,141,60.0
65,143,60.0
66,145,60.0
67,147,60.0
68,149,60.0
69,151,60.0
70,154,61.0
71,156,61.0
72,158,61.0
73,160,61.0
74,162,61.0
75,164,61.0
76,166,61.0
77,168,61.0
78,170,61.0
79,172,61.0
80,174,61.0
81,176,62.0
82,178,62.0
83,180,62.0
84,182,62.0
85,184,62.0
86,187,63.0
87,189,63.0
88,191,63.0
89,193,63.0
90,195,63.0
91,197,63.0
92,199,63.0
93,201,63.0
94,203,63.0
95,205,63.0
96,207,63.0
97,209,63.0
98,211,63.0
99,213,63.0
100,217,65.0
101,219,65.0
102,221,65.0
103,223,65.0
104,225,65.0
105,227,66.0
106,229,66.0
107,231,66.0
108,233,66.0
109,235,66.0
110,237,66.0
111,239,66.0
112,241,66.0
113,243,66.0
114,245,66.0
115,247,66.0
116,249,66.0
117,251,66.0
118,254,67.0
119,256,67.0
120,258,67.0
121,260,67.0
122,262,67.0
123,264,68.0
124,266,69.0
125,268,69.0
126,270,69.0
127,272,69.0
128,274,69.0
129,276,69.0
130,278,69.0
131,280,69.0
132,282,69.0
133,284,69.0
134,286,69.0
135,288,69.0
136,290,69.0
137,292,69.0
138,295,70.0
139,297,70.0
140,299,70.0
141,301,70.0
142,303,71.0
143,306,72.0
144,308,72.0
145,310,72.0
146,313,73.0
147,315,73.0
148,317,73.0
149,319,73.0
150,321,73.0
151,323,73.0
152,325,73.0
153,327,73.0
154,329,73.0
155,331,73.0
156,334,74.0
157,336,74.0
158,339,75.0
159,341,75.0
160,343,75.0
161,345,75.0
162,347,75.0
163,349,75.0
164,351,75.0
165,353,75.0
166,355,75.0
167,357,75.0
