iters,fevals,fitness
0,2,2.0
1,4,2.0
2,6,2.0
3,8,2.0
4,10,2.0
5,12,2.0
6,14,2.0
7,16,2.0
8,18,2.0
9,20,2.0
10,22,2.0
11,24,2.0
12,26,2.0
13,28,2.0
14,30,2.0
15,32,2.0
16,34,2.0
17,36,2.0
18,38,2.0
19,40,2.0
20,42,2.0
21,44,2.0
22,46,2.0
23,48,2.0
24,50,2.0
25,52,2.0
26,54,2.0
27,56,2.0
28,58,2.0
29,60,2.0
30,62,2.0
31,64,2.0
32,66,2.0
33,68,2.0
34,70,2.0
35,72,2.0
36,74,2.0
37,76,2.0
38,78,2.0
39,80,2.0
40,82,2.0
41,84,2.0
42,86,2.0
43,88,2.0
44,90,2.0
45,92,2.0
46,94,2.0
47,96,2.0
48,98,2.0
49,100,2.0
50,102,2.0
51,104,2.0
52,106,2.0
53,108,2.0
54,110,2.0
55,112,2.0
56,114,2.0
57,116,2.0
58,118,2.0
59,120,2.0
60,122,2.0
61,124,2.0
62,126,2.0
63,128,2.0
64,130,2.0
65,132,2.0
66,134,2.0
67,136,2.0
68,138,2.0
69,140,2.0
70,142,2.0
71,144,2.0
72,146,2.0
73,148,2.0
74,150,2.0
75,152,2.0
76,154,2.0
77,156,2.0
78,158,2.0
79,160,2.0
80,162,2.0
81,164,2.0
82,166,2.0
83,168,2.0
84,170,2.0
85,172,2.0
86,174,2.0
87,176,2.0
88,178,2.0
89,180,2.0
90,182,2.0
91,184,2.0
92,186,2.0
93,188,2.0
94,190,2.0
95,192,2.0
96,194,2.0
97,196,2.0
98,198,2.0
99,200,2.0
100,202,2.0
101,204,2.0
102,206,2.0
103,208,2.0
104,210,2.0
105,212,2.0
106,214,2.0
107,216,2.0
108,218,2.0
109,220,2.0
110,222,2.0
111,224,2.0
112,226,2.0
113,228,2.0
114,230,2.0
115,232,2.0
116,234,2.0
117,236,2.0
118,238,2.0
119,240,2.0
120,242,2.0
121,244,2.0
122,246,2.0
123,248,2.0
124,250,2.0
125,252,2.0
126,254,2.0
127,256,2.0
128,258,2.0
129,260,2.0
130,262,2.0
131,264,2.0
132,266,2.0
133,268,2.0
134,270,2.0
135,272,2.0
136,274,2.0
137,276,2.0
138,278,2.0
139,280,2.0
140,282,2.0
141,284,2.0
142,286,2.0
143,288,2.0
144,290,2.0
145,292,2.0
146,294,2.0
147,296,2.0
148,298,2.0
149,300,2.0
150,302,2.0
151,304,2.0
152,306,2.0
153,308,2.0
154,310,2.0
155,312,2.0
156,314,2.0
157,316,2.0
158,318,2.0
159,320,2.0
160,322,2.0
161,324,2.0
162,326,2.0
163,328,2.0
164,330,2.0
165,332,2.0
166,334,2.0
167,336,2.0
168,338,2.0
169,340,2.0
170,342,2.0
171,344,2.0
172,346,2.0
173,348,2.0
174,350,2.0
175,352,2.0
176,354,2.0
177,356,2.0
178,358,2.0
179,360,2.0
180,362,2.0
181,364,2.0
182,366,2.0
183,368,2.0
184,370,2.0
185,372,2.0
186,374,2.0
187,376,2.0
188,378,2.0
189,380,2.0
190,382,2.0
191,384,2.0
192,386,2.0
193,388,2.0
194,391,3.0
195,393,3.0
196,395,3.0
197,397,3.0
198,399,3.0
199,401,3.0
200,403,3.0
201,405,3.0
202,407,3.0
203,409,3.0
204,411,3.0
205,413,3.0
206,415,3.0
207,417,3.0
208,419,3.0
209,421,3.0
210,423,3.0
211,425,3.0
212,427,3.0
213,429,3.0
214,431,3.0
215,433,3.0
216,435,3.0
217,437,3.0
218,439,3.0
219,441,3.0
220,443,3.0
221,445,3.0
222,447,3.0
223,449,3.0
224,451,3.0
225,453,3.0
226,455,3.0
227,457,3.0
228,459,3.0
229,461,3.0
230,463,3.0
231,465,3.0
232,467,3.0
233,469,3.0
234,471,3.0
235,473,3.0
236,475,3.0
237,477,3.0
238,479,3.0
239,481,3.0
240,483,3.0
241,485,3.0
242,487,3.0
243,489,3.0
244,491,3.0
245,493,3.0
246,495,3.0
247,497,3.0
248,499,3.0
249,500,3.0
250,501,3.0
251,502,3.0
252,503,3.0
253,504,3.0
254,505,3.0
255,506,3.0
256,507,3.0
257,508,3.0
258,509,3.0
259,510,3.0
260,511,3.0
261,512,3.0
262,513,3.0
263,514,3.0
264,515,3.0
265,516,3.0
266,517,3.0
267,518,3.0
268,519,3.0
269,520,3.0
270,521,3.0
271,522,3.0
272,523,3.0
273,524,3.0
274,525,3.0
275,526,3.0
276,527,3.0
277,528,3.0
278,529,3.0
279,530,3.0
280,531,3.0
281,532,3.0
282,533,3.0
283,534,3.0
284,535,3.0
285,536,3.0
286,537,3.0
287,538,3.0
288,539,3.0
289,540,3.0
290,541,3.0
291,542,3.0
292,543,3.0
293,544,3.0
294,545,3.0
295,546,3.0
296,547,3.0
297,548,3.0
298,549,3.0
299,550,3.0
300,551,3.0
301,552,3.0
302,553,3.0
303,554,3.0
304,555,3.0
305,556,3.0
306,557,3.0
307,558,3.0
308,559,3.0
309,560,3.0
310,561,3.0
311,562,3.0
312,563,3.0
313,564,3.0
314,565,3.0
315,566,3.0
316,567,3.0
317,568,3.0
318,569,3.0
319,570,3.0
320,571,3.0
321,572,3.0
322,573,3.0
323,574,3.0
324,575,3.0
325,576,3.0
326,577,3.0
327,578,3.0
328,579,3.0
329,580,3.0
330,581,3.0
331,582,3.0
332,583,3.0
333,584,3.0
334,585,3.0
335,586,3.0
336,587,3.0
337,588,3.0
338,589,3.0
339,590,3.0
340,591,3.0
341,592,3.0
342,593,3.0
343,594,3.0
344,595,3.0
345,596,3.0
346,597,3.0
347,598,3.0
348,599,3.0
349,600,3.0
350,601,3.0
351,602,3.0
352,603,3.0
353,604,3.0
354,605,3.0
355,606,3.0
356,607,3.0
357,608,3.0
358,609,3.0
359,610,3.0
360,611,3.0
361,612,3.0
362,613,3.0
363,614,3.0
364,615,3.0
365,616,3.0
366,617,3.0
367,618,3.0
368,619,3.0
369,620,3.0
370,621,3.0
371,622,3.0
372,623,3.0
373,624,3.0
374,625,3.0
375,626,3.0
376,627,3.0
377,628,3.0
378,629,3.0
379,630,3.0
380,631,3.0
381,632,3.0
382,633,3.0
383,634,3.0
384,635,3.0
385,636,3.0
386,637,3.0
387,638,3.0
388,639,3.0
389,640,3.0
390,641,3.0
391,642,3.0
392,643,3.0
393,644,3.0
394,645,3.0
395,646,3.0
396,647,3.0
397,648,3.0
398,649,3.0
399,650,3.0
400,651,3.0
401,652,3.0
402,653,3.0
403,654,3.0
404,655,3.0
405,656,3.0
406,657,3.0
407,658,3.0
408,659,3.0
409,660,3.0
410,661,3.0
411,662,3.0
412,663,3.0
413,664,3.0
414,665,3.0
415,666,3.0
416,667,3.0
417,668,3.0
418,669,3.0
419,670,3.0
420,671,3.0
421,672,3.0
422,673,3.0
423,674,3.0
424,675,3.0
425,676,3.0
426,677,3.0
427,678,3.0
428,679,3.0
429,680,3.0
430,681,3.0
431,682,3.0
432,683,3.0
433,684,3.0
434,685,3.0
435,686,3.0
436,687,3.0
437,688,3.0
438,689,3.0
439,690,3.0
440,691,3.0
441,692,3.0
442,693,3.0
443,694,3.0
444,695,3.0
445,696,3.0
446,697,3.0
447,698,3.0
448,699,3.0
449,700,3.0
450,701,3.0
451,702,3.0
