iters,fevals,fitness
0,4,1197.0
1,6,1197.0
2,8,1197.0
3,10,1197.0
4,13,1202.0
5,15,1204.0
6,17,1205.0
7,19,1205.0
8,21,1205.0
9,23,1205.0
10,25,1207.0
11,27,1207.0
12,29,1209.0
13,31,1210.0
14,33,1210.0
15,36,1212.0
16,38,1212.0
17,40,1212.0
18,42,1213.0
19,44,1213.0
20,46,1213.0
21,48,1213.0
22,50,1213.0
23,52,1213.0
24,54,1213.0
25,56,1213.0
26,58,1213.0
27,60,1213.0
28,62,1213.0
29,64,1213.0
30,66,1214.0
31,68,1214.0
32,70,1214.0
33,72,1214.0
34,74,1214.0
35,76,1214.0
36,78,1214.0
37,80,1214.0
38,82,1214.0
39,84,1214.0
40,86,1214.0
41,88,1214.0
42,90,1214.0
43,92,1214.0
44,95,1216.0
45,97,1216.0
46,99,1216.0
47,101,1216.0
48,103,1216.0
49,105,1216.0
50,107,1216.0
51,109,1216.0
52,111,1216.0
53,113,1216.0
54,115,1216.0
55,117,1216.0
56,119,1216.0
57,121,1216.0
58,123,1216.0
59,125,1216.0
60,128,1217.0
61,130,1217.0
62,132,1217.0
63,134,1217.0
64,136,1217.0
65,138,1217.0
66,140,1217.0
67,142,1218.0
68,144,1218.0
69,146,1218.0
70,149,1219.0
71,151,1219.0
72,153,1219.0
73,155,1219.0
74,157,1219.0
75,159,1219.0
76,161,1219.0
77,163,1219.0
78,165,1219.0
79,167,1219.0
80,169,1219.0
81,171,1219.0
82,173,1219.0
83,175,1219.0
84,177,1219.0
85,179,1219.0
86,181,1219.0
87,183,1219.0
88,185,1219.0
89,187,1219.0
90,189,1219.0
91,191,1219.0
92,193,1219.0
93,195,1219.0
94,197,1219.0
95,199,1219.0
96,201,1219.0
97,203,1219.0
98,205,1219.0
99,207,1219.0
100,209,1219.0
101,211,1219.0
102,213,1219.0
103,215,1219.0
104,217,1219.0
105,219,1219.0
106,221,1219.0
107,223,1219.0
108,225,1219.0
109,227,1219.0
110,229,1219.0
111,231,1219.0
112,233,1219.0
113,235,1219.0
114,237,1219.0
115,239,1219.0
116,241,1219.0
117,243,1219.0
118,245,1219.0
119,247,1219.0
120,249,1219.0
121,251,1219.0
122,253,1219.0
123,255,1219.0
124,257,1219.0
125,259,1219.0
126,261,1219.0
127,263,1219.0
128,265,1219.0
129,267,1219.0
130,269,1219.0
131,271,1219.0
132,273,1219.0
133,275,1219.0
134,277,1219.0
135,279,1219.0
136,281,1219.0
137,283,1219.0
138,285,1219.0
139,287,1219.0
140,289,1219.0
141,291,1219.0
142,293,1219.0
143,295,1219.0
144,297,1219.0
145,299,1219.0
146,301,1219.0
147,303,1219.0
148,305,1219.0
149,307,1219.0
150,309,1219.0
151,311,1219.0
152,313,1219.0
153,315,1219.0
154,317,1219.0
155,319,1219.0
156,321,1219.0
157,323,1219.0
158,325,1219.0
159,327,1219.0
160,330,1220.0
161,332,1220.0
162,334,1220.0
163,336,1220.0
164,338,1220.0
165,340,1220.0
166,342,1220.0
167,344,1220.0
168,346,1220.0
169,348,1220.0
170,350,1220.0
171,352,1220.0
172,354,1220.0
173,356,1220.0
174,358,1220.0
175,360,1220.0
176,362,1220.0
177,364,1220.0
178,366,1220.0
179,368,1220.0
180,370,1220.0
181,372,1220.0
182,374,1220.0
183,376,1220.0
184,378,1220.0
185,381,1222.0
186,383,1222.0
187,385,1222.0
188,387,1222.0
189,389,1222.0
190,391,1222.0
191,393,1222.0
192,395,1222.0
193,397,1222.0
194,399,1222.0
195,401,1222.0
196,403,1222.0
197,405,1222.0
198,407,1222.0
199,409,1222.0
200,411,1222.0
201,413,1222.0
202,415,1222.0
203,417,1222.0
204,419,1222.0
205,421,1222.0
206,423,1222.0
207,425,1222.0
208,427,1222.0
209,429,1222.0
210,431,1222.0
211,433,1222.0
212,435,1222.0
