iters,fevals,fitness
0,2,34.0
1,4,35.0
2,8,37.0
3,11,36.0
4,13,35.0
5,16,33.0
6,18,33.0
7,22,32.0
8,24,33.0
9,26,33.0
10,28,33.0
11,30,33.0
12,33,34.0
13,37,34.0
14,39,35.0
15,41,34.0
16,45,34.0
17,47,35.0
18,50,36.0
19,55,39.0
20,62,37.0
21,66,37.0
22,68,37.0
23,70,37.0
24,72,37.0
25,74,38.0
26,76,37.0
27,78,38.0
28,81,37.0
29,86,38.0
30,88,38.0
31,90,38.0
32,93,40.0
33,96,40.0
34,98,40.0
35,100,41.0
36,104,43.0
37,108,43.0
38,110,43.0
39,112,43.0
40,114,43.0
41,116,43.0
42,118,43.0
43,121,44.0
44,123,45.0
45,125,45.0
46,127,45.0
47,129,45.0
48,131,45.0
49,133,45.0
50,135,45.0
51,137,46.0
52,139,46.0
53,144,49.0
54,146,49.0
55,148,49.0
56,150,49.0
57,152,49.0
58,154,49.0
59,156,49.0
60,158,49.0
61,161,50.0
62,164,51.0
63,166,51.0
64,168,51.0
65,170,51.0
66,172,51.0
67,174,51.0
68,177,52.0
69,179,52.0
70,182,53.0
71,184,53.0
72,186,54.0
73,189,55.0
74,191,55.0
75,193,55.0
76,196,57.0
77,198,57.0
78,201,58.0
79,203,58.0
80,205,58.0
81,207,58.0
82,210,59.0
83,212,59.0
84,214,59.0
85,216,60.0
86,218,60.0
87,220,60.0
88,222,60.0
89,224,60.0
90,226,60.0
91,228,60.0
92,230,60.0
93,232,60.0
94,234,60.0
95,237,61.0
96,239,61.0
97,241,61.0
98,243,61.0
99,245,61.0
100,247,61.0
101,249,61.0
102,252,62.0
103,254,62.0
104,256,62.0
105,259,63.0
106,261,63.0
107,263,63.0
108,265,63.0
109,267,63.0
110,269,63.0
111,271,63.0
112,273,64.0
113,275,64.0
114,277,64.0
115,279,65.0
116,281,65.0
117,283,65.0
118,285,65.0
119,287,65.0
120,290,66.0
121,292,66.0
122,294,66.0
123,296,66.0
124,298,66.0
125,300,66.0
126,302,66.0
127,304,66.0
128,306,66.0
129,308,66.0
130,310,66.0
131,312,67.0
132,314,67.0
133,316,67.0
134,318,67.0
135,320,67.0
136,322,67.0
137,324,67.0
138,326,67.0
139,328,67.0
140,331,68.0
141,333,68.0
142,335,68.0
143,337,68.0
144,339,69.0
145,342,70.0
146,344,70.0
147,346,70.0
148,348,70.0
149,351,71.0
150,353,71.0
151,355,71.0
152,357,72.0
153,359,72.0
154,361,72.0
155,363,72.0
156,365,72.0
157,367,72.0
158,369,72.0
159,371,72.0
160,373,72.0
161,375,72.0
162,377,72.0
163,379,72.0
164,381,72.0
165,383,72.0
166,385,72.0
167,388,73.0
168,390,73.0
169,392,73.0
170,394,73.0
171,396,73.0
172,398,73.0
173,400,73.0
174,402,73.0
175,404,73.0
176,406,73.0
177,408,73.0
178,410,73.0
179,412,73.0
180,414,73.0
181,416,73.0
182,418,73.0
183,420,73.0
184,422,73.0
185,424,73.0
186,426,73.0
187,428,73.0
188,430,73.0
189,432,73.0
190,434,73.0
191,436,73.0
192,438,73.0
193,440,73.0
194,442,73.0
195,444,73.0
196,446,73.0
197,448,73.0
198,450,73.0
199,452,73.0
200,454,73.0
201,456,73.0
202,458,73.0
203,460,73.0
204,462,74.0
205,464,74.0
206,466,74.0
207,468,74.0
208,470,74.0
209,472,74.0
210,474,74.0
211,476,74.0
212,478,74.0
213,480,74.0
214,482,74.0
215,484,74.0
216,486,74.0
217,488,74.0
218,490,74.0
219,492,74.0
220,494,74.0
221,496,74.0
222,498,74.0
223,500,74.0
224,501,74.0
225,502,74.0
226,503,74.0
227,504,74.0
228,505,74.0
229,506,74.0
230,507,74.0
231,508,74.0
232,509,74.0
233,510,74.0
234,511,74.0
235,512,74.0
236,513,74.0
237,514,74.0
238,515,74.0
239,516,74.0
240,517,74.0
241,518,74.0
242,519,74.0
243,520,74.0
244,521,74.0
245,522,74.0
246,523,74.0
247,524,74.0
248,525,74.0
249,526,75.0
250,527,75.0
251,528,75.0
252,529,75.0
253,530,75.0
254,531,75.0
255,532,75.0
256,533,75.0
257,534,75.0
258,535,75.0
259,536,75.0
260,537,75.0
261,538,75.0
262,539,75.0
263,540,75.0
264,541,75.0
265,542,75.0
266,543,75.0
267,544,75.0
268,545,75.0
269,546,75.0
270,547,75.0
271,548,75.0
272,549,75.0
273,550,75.0
274,551,75.0
275,552,75.0
276,553,76.0
277,554,76.0
278,555,76.0
279,556,76.0
280,557,76.0
281,558,76.0
282,559,76.0
283,560,76.0
284,561,76.0
285,562,76.0
286,563,76.0
287,564,76.0
288,565,76.0
289,566,76.0
290,567,76.0
291,568,76.0
292,569,76.0
293,570,76.0
294,571,76.0
295,572,76.0
296,573,76.0
297,574,76.0
298,575,76.0
299,576,76.0
300,577,76.0
301,578,76.0
302,579,76.0
303,580,76.0
304,581,76.0
305,582,76.0
306,583,76.0
307,584,76.0
308,585,76.0
309,586,76.0
310,587,76.0
311,588,76.0
312,589,76.0
313,590,76.0
314,591,76.0
315,592,76.0
316,593,76.0
317,594,76.0
318,595,77.0
319,596,77.0
320,597,77.0
321,598,77.0
322,599,77.0
323,600,77.0
324,601,77.0
325,602,77.0
326,603,77.0
327,604,77.0
328,605,77.0
329,606,77.0
330,607,77.0
331,608,77.0
332,609,77.0
333,610,77.0
334,611,77.0
335,612,77.0
336,613,77.0
337,614,77.0
338,615,78.0
339,616,78.0
340,617,78.0
341,618,78.0
342,619,78.0
343,620,78.0
344,621,78.0
345,622,78.0
346,623,78.0
347,624,78.0
348,625,78.0
349,626,78.0
350,627,78.0
351,628,78.0
352,629,78.0
353,630,78.0
354,631,78.0
355,632,78.0
356,633,78.0
357,634,78.0
358,635,78.0
359,636,78.0
360,637,78.0
361,638,78.0
362,639,78.0
363,640,78.0
364,641,78.0
365,642,78.0
366,643,78.0
367,644,78.0
368,645,78.0
369,646,79.0
370,647,79.0
371,648,79.0
372,649,79.0
373,650,79.0
374,651,79.0
375,652,79.0
376,653,79.0
377,654,79.0
378,655,79.0
379,656,79.0
380,657,79.0
381,658,79.0
382,659,79.0
383,660,79.0
384,661,79.0
385,662,79.0
386,663,79.0
387,664,79.0
388,665,79.0
389,666,79.0
390,667,79.0
391,668,79.0
392,669,79.0
393,670,79.0
394,671,79.0
395,672,79.0
396,673,79.0
397,674,79.0
398,675,79.0
399,676,79.0
400,677,79.0
401,678,79.0
402,679,79.0
403,680,79.0
404,681,79.0
405,682,79.0
406,683,79.0
407,684,79.0
408,685,79.0
409,686,79.0
410,687,79.0
411,688,79.0
412,689,79.0
413,690,79.0
414,691,79.0
415,692,79.0
416,693,79.0
417,694,79.0
418,695,79.0
419,696,79.0
420,697,79.0
421,698,79.0
422,699,79.0
423,700,79.0
424,701,79.0
425,702,79.0
426,703,79.0
427,704,79.0
428,705,79.0
429,706,79.0
430,707,79.0
431,708,79.0
432,709,79.0
433,710,79.0
434,711,79.0
435,712,79.0
436,713,79.0
437,714,79.0
438,715,79.0
439,716,79.0
440,717,79.0
441,718,79.0
442,719,79.0
443,720,79.0
444,721,79.0
445,722,79.0
446,723,79.0
447,724,79.0
448,725,79.0
449,726,79.0
450,727,79.0
451,728,79.0
452,729,79.0
453,730,79.0
454,731,79.0
455,732,79.0
456,733,79.0
457,734,79.0
458,735,79.0
459,736,79.0
460,737,79.0
461,738,79.0
462,739,79.0
463,740,79.0
464,741,79.0
465,742,79.0
466,743,79.0
467,744,79.0
468,745,79.0
469,746,79.0
470,747,79.0
471,748,79.0
472,749,79.0
473,750,79.0
474,751,79.0
475,752,79.0
476,753,79.0
477,754,79.0
478,755,79.0
479,756,79.0
480,757,79.0
481,758,79.0
482,759,79.0
483,760,79.0
484,761,79.0
485,762,79.0
486,763,79.0
487,764,79.0
488,765,79.0
489,766,79.0
490,767,79.0
491,768,79.0
492,769,79.0
493,770,79.0
494,771,79.0
495,772,79.0
496,773,79.0
497,774,79.0
498,775,79.0
499,776,79.0
500,777,79.0
501,778,79.0
502,779,79.0
503,780,79.0
504,781,79.0
505,782,79.0
506,783,79.0
507,784,79.0
508,785,79.0
509,786,79.0
510,787,79.0
511,788,79.0
512,789,79.0
513,790,79.0
514,791,79.0
515,792,79.0
516,793,79.0
517,794,79.0
518,795,79.0
519,796,79.0
520,797,79.0
521,798,79.0
522,799,79.0
523,800,79.0
524,801,79.0
525,802,79.0
526,803,79.0
527,804,79.0
528,805,79.0
529,806,79.0
530,807,79.0
531,808,79.0
532,809,79.0
533,810,79.0
534,811,79.0
535,812,79.0
536,813,79.0
537,814,79.0
538,815,79.0
539,816,79.0
540,817,79.0
541,818,79.0
542,819,79.0
543,820,79.0
544,821,79.0
545,822,79.0
546,823,79.0
547,824,79.0
548,825,79.0
549,826,79.0
550,827,79.0
551,828,79.0
552,829,79.0
553,830,79.0
554,831,79.0
555,832,79.0
556,833,79.0
557,834,79.0
558,835,79.0
559,836,79.0
560,837,79.0
561,838,79.0
562,839,79.0
563,840,79.0
564,841,79.0
565,842,79.0
566,843,79.0
567,844,79.0
568,845,79.0
569,846,79.0
570,847,79.0
571,848,79.0
572,849,79.0
573,850,79.0
574,851,79.0
575,852,79.0
576,853,79.0
577,854,79.0
578,855,79.0
579,856,79.0
580,857,79.0
581,858,79.0
582,859,79.0
583,860,79.0
584,861,79.0
585,862,79.0
586,863,79.0
587,864,79.0
588,865,79.0
589,866,79.0
590,867,79.0
591,868,79.0
592,869,79.0
593,870,79.0
594,871,79.0
595,872,79.0
596,873,79.0
597,874,79.0
598,875,79.0
599,876,79.0
600,877,79.0
601,878,79.0
602,879,79.0
603,880,79.0
604,881,79.0
605,882,79.0
606,883,79.0
607,884,79.0
608,885,79.0
609,886,79.0
610,887,79.0
611,888,79.0
612,889,79.0
613,890,79.0
614,891,79.0
615,892,79.0
616,893,79.0
617,894,79.0
618,895,79.0
619,896,79.0
620,897,79.0
621,898,79.0
622,899,79.0
623,900,79.0
624,901,79.0
625,902,79.0
626,903,79.0
627,904,79.0
628,905,79.0
629,906,79.0
630,907,79.0
631,908,79.0
632,909,79.0
633,910,79.0
634,911,79.0
635,912,79.0
636,913,79.0
637,914,79.0
638,915,79.0
639,916,79.0
640,917,79.0
641,918,79.0
642,919,79.0
643,920,79.0
644,921,79.0
645,922,79.0
646,923,79.0
647,924,79.0
648,925,79.0
649,926,79.0
650,927,79.0
651,928,79.0
652,929,79.0
653,930,79.0
654,931,80.0
655,932,80.0
656,933,80.0
657,934,80.0
658,935,80.0
659,936,80.0
660,937,80.0
661,938,80.0
662,939,80.0
663,940,80.0
664,941,80.0
665,942,80.0
666,943,80.0
667,944,80.0
668,945,80.0
