iters,fevals,fitness
0,2,1191.0
1,4,1191.0
2,11,1200.0
3,13,1200.0
4,15,1200.0
5,18,1202.0
6,20,1203.0
7,22,1205.0
8,25,1208.0
9,27,1208.0
10,29,1208.0
11,31,1208.0
12,33,1208.0
13,35,1208.0
14,37,1208.0
15,39,1208.0
16,41,1208.0
17,43,1208.0
18,45,1208.0
19,47,1208.0
20,49,1209.0
21,51,1209.0
22,53,1209.0
23,55,1209.0
24,57,1209.0
25,59,1209.0
26,61,1209.0
27,64,1210.0
28,67,1212.0
29,69,1212.0
30,71,1212.0
31,73,1213.0
32,76,1215.0
33,78,1215.0
34,80,1215.0
35,82,1215.0
36,84,1215.0
37,86,1215.0
38,88,1215.0
39,90,1215.0
40,92,1215.0
41,94,1215.0
42,96,1215.0
43,98,1215.0
44,100,1215.0
45,102,1215.0
46,104,1215.0
47,106,1215.0
48,108,1215.0
49,110,1216.0
50,112,1216.0
51,114,1216.0
52,116,1216.0
53,118,1216.0
54,120,1216.0
55,122,1216.0
56,124,1216.0
57,126,1216.0
58,128,1216.0
59,130,1216.0
60,132,1216.0
61,134,1216.0
62,136,1216.0
63,138,1216.0
64,140,1216.0
65,142,1216.0
66,144,1216.0
67,146,1216.0
68,148,1216.0
69,150,1216.0
70,152,1216.0
71,154,1216.0
72,156,1216.0
73,158,1216.0
74,160,1216.0
75,162,1216.0
76,164,1216.0
77,166,1216.0
78,168,1216.0
79,170,1216.0
80,172,1216.0
81,174,1216.0
82,176,1216.0
83,178,1216.0
84,180,1216.0
85,182,1216.0
86,184,1216.0
87,186,1216.0
88,188,1216.0
89,190,1216.0
90,192,1216.0
91,194,1216.0
92,196,1216.0
93,198,1216.0
94,200,1216.0
95,203,1218.0
96,205,1218.0
97,207,1218.0
98,209,1218.0
99,211,1218.0
100,213,1218.0
101,215,1218.0
102,217,1218.0
103,219,1218.0
104,221,1218.0
105,223,1218.0
106,225,1218.0
107,227,1218.0
108,229,1218.0
109,231,1218.0
110,233,1218.0
111,235,1218.0
112,237,1218.0
113,239,1218.0
114,241,1218.0
115,243,1218.0
116,245,1218.0
117,247,1218.0
118,249,1218.0
119,251,1218.0
120,253,1218.0
121,255,1218.0
122,257,1218.0
123,259,1218.0
124,261,1218.0
125,263,1218.0
126,265,1218.0
127,267,1218.0
128,269,1218.0
129,271,1218.0
130,273,1218.0
131,275,1218.0
132,277,1218.0
133,279,1218.0
134,281,1218.0
135,283,1218.0
136,285,1218.0
137,287,1218.0
138,289,1218.0
139,291,1218.0
140,293,1218.0
141,295,1218.0
142,297,1218.0
143,299,1218.0
144,301,1218.0
145,303,1218.0
146,305,1218.0
147,307,1218.0
148,309,1218.0
149,311,1218.0
150,313,1218.0
151,315,1218.0
152,317,1218.0
153,319,1218.0
154,321,1218.0
155,323,1218.0
156,325,1218.0
157,327,1218.0
158,329,1218.0
159,331,1218.0
160,333,1218.0
161,335,1218.0
162,337,1218.0
163,339,1218.0
164,341,1218.0
165,343,1218.0
166,345,1218.0
167,347,1218.0
168,349,1218.0
169,351,1218.0
170,353,1218.0
171,355,1218.0
172,357,1218.0
173,359,1218.0
174,361,1218.0
175,363,1218.0
176,365,1218.0
177,367,1218.0
178,369,1218.0
179,371,1218.0
180,373,1218.0
181,375,1218.0
182,377,1218.0
183,380,1219.0
184,382,1219.0
185,384,1219.0
186,386,1219.0
187,388,1219.0
188,390,1219.0
189,392,1219.0
190,395,1220.0
191,397,1220.0
192,399,1220.0
193,401,1220.0
194,403,1220.0
195,405,1220.0
196,407,1220.0
197,409,1220.0
198,411,1220.0
199,413,1220.0
200,415,1220.0
201,417,1220.0
202,419,1220.0
203,421,1220.0
204,423,1220.0
205,425,1220.0
206,427,1220.0
207,429,1220.0
208,431,1220.0
209,433,1220.0
210,435,1220.0
211,437,1220.0
212,439,1220.0
213,441,1220.0
214,443,1220.0
215,445,1220.0
216,447,1220.0
217,449,1220.0
218,451,1220.0
219,453,1220.0
220,455,1220.0
221,457,1220.0
222,459,1220.0
223,461,1220.0
224,463,1220.0
225,465,1220.0
226,467,1220.0
227,469,1220.0
228,471,1220.0
229,473,1220.0
230,475,1220.0
231,477,1220.0
232,479,1220.0
233,481,1220.0
234,483,1220.0
235,485,1220.0
236,487,1220.0
237,489,1220.0
238,491,1220.0
239,493,1220.0
240,495,1220.0
241,497,1220.0
242,499,1220.0
243,500,1220.0
244,501,1221.0
245,502,1221.0
246,503,1221.0
247,504,1221.0
248,505,1221.0
249,506,1221.0
250,507,1221.0
251,508,1221.0
252,509,1221.0
253,510,1221.0
254,511,1221.0
255,512,1221.0
256,513,1221.0
257,514,1221.0
258,515,1221.0
259,516,1221.0
260,517,1221.0
261,518,1221.0
262,519,1221.0
263,520,1221.0
264,521,1221.0
265,522,1221.0
266,523,1221.0
267,524,1221.0
268,525,1221.0
269,526,1221.0
270,527,1221.0
271,528,1221.0
272,529,1221.0
273,530,1221.0
274,531,1221.0
275,532,1221.0
276,533,1221.0
277,534,1221.0
278,535,1221.0
279,536,1221.0
280,537,1221.0
281,538,1221.0
282,539,1221.0
283,540,1221.0
284,541,1221.0
285,542,1221.0
286,543,1221.0
287,544,1221.0
288,545,1221.0
289,546,1221.0
290,547,1221.0
291,548,1221.0
292,549,1221.0
293,550,1221.0
294,551,1221.0
295,552,1221.0
296,553,1221.0
297,554,1221.0
298,555,1221.0
299,556,1221.0
300,557,1221.0
301,558,1221.0
302,559,1221.0
303,560,1221.0
304,561,1221.0
305,562,1221.0
306,563,1221.0
307,564,1221.0
308,565,1221.0
309,566,1221.0
310,567,1221.0
311,568,1221.0
312,569,1221.0
313,570,1221.0
314,571,1221.0
315,572,1221.0
316,573,1221.0
317,574,1221.0
318,575,1221.0
319,576,1221.0
320,577,1221.0
321,578,1221.0
322,579,1221.0
323,580,1221.0
324,581,1221.0
325,582,1221.0
326,583,1221.0
327,584,1221.0
328,585,1221.0
329,586,1221.0
330,587,1221.0
331,588,1221.0
332,589,1221.0
333,590,1221.0
334,591,1221.0
335,592,1221.0
336,593,1221.0
337,594,1221.0
338,595,1221.0
339,596,1221.0
340,597,1221.0
341,598,1221.0
342,599,1221.0
343,600,1221.0
344,601,1221.0
345,602,1221.0
346,603,1221.0
347,604,1221.0
348,605,1221.0
349,606,1221.0
350,607,1221.0
351,608,1221.0
352,609,1221.0
353,610,1221.0
354,611,1221.0
355,612,1221.0
356,613,1221.0
357,614,1221.0
358,615,1221.0
359,616,1221.0
360,617,1221.0
361,618,1221.0
362,619,1221.0
363,620,1221.0
364,621,1221.0
365,622,1221.0
366,623,1221.0
367,624,1221.0
368,625,1221.0
369,626,1221.0
370,627,1221.0
371,628,1221.0
372,629,1221.0
373,630,1221.0
374,631,1221.0
375,632,1221.0
376,633,1221.0
377,634,1221.0
378,635,1221.0
379,636,1221.0
380,637,1221.0
381,638,1221.0
382,639,1221.0
383,640,1221.0
384,641,1221.0
385,642,1221.0
386,643,1221.0
387,644,1221.0
388,645,1221.0
389,646,1221.0
390,647,1221.0
391,648,1221.0
392,649,1221.0
393,650,1221.0
394,651,1221.0
395,652,1221.0
396,653,1221.0
397,654,1221.0
398,655,1221.0
399,656,1221.0
400,657,1221.0
401,658,1221.0
402,659,1221.0
403,660,1221.0
404,661,1221.0
405,662,1221.0
406,663,1221.0
407,664,1221.0
408,665,1221.0
409,666,1221.0
410,667,1221.0
411,668,1221.0
412,669,1221.0
413,670,1221.0
414,671,1221.0
415,672,1221.0
416,673,1221.0
417,674,1221.0
418,675,1221.0
419,676,1221.0
420,677,1221.0
421,678,1221.0
422,679,1221.0
423,680,1221.0
424,681,1221.0
425,682,1221.0
426,683,1221.0
427,684,1221.0
428,685,1221.0
429,686,1221.0
430,687,1221.0
431,688,1221.0
432,689,1221.0
433,690,1221.0
434,691,1221.0
435,692,1221.0
436,693,1221.0
437,694,1221.0
438,695,1221.0
439,696,1221.0
440,697,1221.0
441,698,1221.0
442,699,1221.0
443,700,1221.0
444,701,1221.0
445,702,1221.0
446,703,1221.0
447,704,1221.0
448,705,1221.0
449,706,1221.0
450,707,1221.0
451,708,1221.0
452,709,1221.0
453,710,1221.0
454,711,1221.0
455,712,1221.0
456,713,1221.0
457,714,1221.0
458,715,1221.0
459,716,1221.0
460,717,1221.0
461,718,1221.0
462,719,1221.0
463,720,1221.0
464,721,1221.0
465,722,1221.0
466,723,1221.0
467,724,1221.0
468,725,1221.0
469,726,1221.0
470,727,1221.0
471,728,1222.0
472,729,1222.0
473,730,1222.0
474,731,1222.0
475,732,1222.0
476,733,1222.0
477,734,1222.0
478,735,1222.0
479,736,1222.0
480,737,1222.0
481,738,1222.0
482,739,1222.0
483,740,1222.0
484,741,1222.0
485,742,1222.0
486,743,1222.0
487,744,1222.0
488,745,1222.0
489,746,1222.0
490,747,1222.0
491,748,1222.0
492,749,1222.0
493,750,1222.0
494,751,1222.0
495,752,1222.0
496,753,1222.0
497,754,1222.0
498,755,1222.0
499,756,1222.0
500,757,1222.0
501,758,1222.0
502,759,1222.0
503,760,1222.0
504,761,1222.0
505,762,1222.0
506,763,1222.0
507,764,1222.0
508,765,1222.0
509,766,1222.0
510,767,1222.0
511,768,1222.0
512,769,1222.0
513,770,1222.0
514,771,1222.0
515,772,1222.0
516,773,1222.0
517,774,1222.0
518,775,1222.0
519,776,1222.0
520,777,1222.0
521,778,1222.0
522,779,1222.0
523,780,1222.0
524,781,1222.0
525,782,1222.0
526,783,1222.0
527,784,1222.0
528,785,1222.0
529,786,1222.0
530,787,1222.0
531,788,1222.0
532,789,1222.0
533,790,1222.0
534,791,1222.0
535,792,1222.0
536,793,1222.0
537,794,1222.0
538,795,1222.0
539,796,1222.0
540,797,1222.0
541,798,1222.0
542,799,1222.0
543,800,1222.0
544,801,1222.0
545,802,1222.0
546,803,1222.0
547,804,1222.0
548,805,1222.0
549,806,1222.0
550,807,1222.0
551,808,1222.0
552,809,1222.0
